rank,feature_id,frequency_score,active_ratio,mean_activation,std_activation,blacklisted
320,10168,0.8880000114440918,0.8880000114440918,0.9872314929962158,1.2661030292510986,0
321,6259,0.8880000114440918,0.8880000114440918,0.14793084561824799,0.22399024665355682,0
322,7134,0.8870000243186951,0.8870000243186951,0.11353748291730881,0.16242392361164093,0
323,387,0.8859999775886536,0.8859999775886536,0.22177168726921082,0.3254527747631073,0
324,5870,0.8849999904632568,0.8849999904632568,0.2255481779575348,0.33301934599876404,0
325,6442,0.8809999823570251,0.8809999823570251,0.3306613564491272,0.41242873668670654,0
326,1989,0.8809999823570251,0.8809999823570251,0.29126399755477905,0.39375340938568115,0
327,8987,0.8809999823570251,0.8809999823570251,0.14250598847866058,0.17831169068813324,0
328,8243,0.8790000081062317,0.8790000081062317,0.25994497537612915,0.3151712715625763,0
329,9060,0.8759999871253967,0.8759999871253967,0.0713808685541153,0.08714523166418076,0
330,3922,0.875,0.875,0.34468376636505127,0.5545452237129211,0
331,10058,0.8740000128746033,0.8740000128746033,0.08844437450170517,0.0969463661313057,0
332,1628,0.8709999918937683,0.8709999918937683,0.15282908082008362,0.19746863842010498,0
333,7321,0.8669999837875366,0.8669999837875366,0.12013787776231766,0.1519843190908432,0
334,8524,0.8669999837875366,0.8669999837875366,0.11140766739845276,0.1368851363658905,0
335,9638,0.8640000224113464,0.8640000224113464,0.10488010942935944,0.15314032137393951,0
336,5658,0.8619999885559082,0.8619999885559082,0.12398088723421097,0.1687392145395279,0
337,6270,0.8600000143051147,0.8600000143051147,0.15050290524959564,0.20096831023693085,0
338,8399,0.859000027179718,0.859000027179718,0.184457927942276,0.2599068284034729,0
339,9027,0.859000027179718,0.859000027179718,0.1348283439874649,0.26724472641944885,0
340,6990,0.8579999804496765,0.8579999804496765,0.10334394127130508,0.1523643434047699,0
341,4237,0.8569999933242798,0.8569999933242798,0.2900012731552124,0.4567473530769348,0
